146  ALL-INDIA  RAINFALL    (1871-2016)          30 SUBDIVISIONS AREA 2880324 SQ.KM.                        
 Monthly,Seasonal and Annual rainfall (in 10th of mm) 1871-2016 (1871-2014 based on 306       
 stations and 2015-2016 based on IMD Subdivisional rainfall)                                  
----------------------------------------------------------------------------------------------------------
YEAR    JAN   FEB   MAR   APR   MAY   JUN   JUL   AUG   SEP   OCT   NOV   DEC    JF   MAM  JJAS   OND   ANN
1872     14    44    45   206    40  2016  3355  2537  2098   488    13   230    58   291 10006   731 11086
1873     44    93    72    58   314  1067  2670  2262  2323   187    83    91   137   444  8322   361  9264
1874     41    42    33    50   252  2649  3823  2743  2248   361    35    11    82   335 11462   406 12287
1875     22    63    22    78   142  2447  4005  2056  2176   486    14    60    85   242 10684   560 11571
1876      1     3    82    18    82  1035  3564  2073  1761    77     9     0     4   182  8433    85  8705
1877    373   160   155   436   337  1898  1597  1885  1262   963    79   295   533   928  6642  1337  9440
1878     72    84    38   253   276  1086  3336  3811  2195   790   162    15   156   567 10428   967 12117
1879      2    84     4    26   619  2046  1986  3904  1347   806   124     2    85   649  9283   932 10950
1880      0    26    29    43   112  1894  2949  1336  2525   743   295    20    26   184  8704  1058  9972
1881      1    18   276    89   146  1806  3219  2634  1438   366   289    10    19   511  9097   665 10292
1882     39     8    14    88   217  2920  4026  1592  2064   272   441     9    47   319 10602   722 11690
1883     89     0   120    30   171  2437  2909  2232  2696   872   123     0    89   321 10274   995 11679
1884    122    64    24    68    63  1623  4210  2898  2982   587     7   413   186   155 11713  1007 13061
1885     59    80    88   160   391  2249  3150  2295  1209   784   214   645   139   639  8903  1643 11324
1886     20     7   100    27   378  2182  3313  1981   863  1649    89   239    27   505  8339  1976 10847
1887    162     0     8    96   152  1977  4015  2972  1909   886   329    45   162   256 10873  1260 12551
1888    261   107    40    48   164  1450  3251  2714  1226   197   438    10   368   252  8641   645  9906
1889     10    53    24   162   142  1936  3041  3338  1765  1016    19     3    63   328 10080  1038 11509
1890      0     1    70   144    51  2301  3191  2373  2028   255   459   180     1   265  9893   894 11053
1891     80   102   189   127   156   510  3326  2504  3405   434    12     1   182   471  9745   447 10846
1892     39    87     1   106   149  1834  3673  3330  2842  1121    69    23   126   256 11678  1213 13274
1893    255   160   657    55   586  2514  2102  3200  2399   910   439     2   415  1297 10215  1350 13278
1894     60    93    67    67    60  2240  3473  2398  2604  1145   242    88   153   194 10715  1475 12537
1895     70   120    89   183    78  2402  2459  2472  1632   643    74    22   190   350  8965   739 10244
1896      2     0    11    53    76  2289  3682  3303   390    49   275   120     2   140  9664   444 10250
1897    144    73    47   198   140  1275  2944  3148  2002   712    11     0   217   385  9369   722 10693
1898      0   318    23   122    92  1810  3861  2447  1895   322   131    24   318   237 10013   477 11045
1899      5    38    13   276   199  1849  1257  1405   813    78     0     1    43   488  5323    79  5933
1900    123    30    31   130    98  1107  2978  3155  2571   247    27    79   153   259  9811   353 10575
1901    255   342   156   269   205  1204  2714  3412  1153   387    33     6   597   630  8483   426 10136
1902     54    30     4   107    91   728  3021  1967  2117   442   283   284    84   202  7833  1009  9128
1903     48    19     1    35   475  1091  3555  3000  2058  1217   111    39    67   511  9704  1367 11649
1904     11    60   177    40   256  1926  2391  1838  1601   688     7    38    71   473  7756   733  9033
1905    102    76    98   150   164   748  2588  1919  2110   311    25     2   178   411  7365   338  8293
1906    134   175   169     6    80  2205  3406  2344  1870   258    80   178   309   255  9825   516 10905
1907     35   307    77   470    28  1522  2501  3345   843    22    66    39   342   575  8211   127  9255
1908     80   144    76    49    83  1313  3448  3361  1956    99     5    20   224   208 10077   124 10634
1909     59    50    37   405   175  1992  3422  1924  1460   110    13   261   109   617  8798   384  9908
1910     22     0    14    44   123  2295  2201  2951  2821   674   447     0    22   181 10268  1121 11592
1911     86     1    74    28    88  1875  1823  2705  1678   479   354    29    87   190  8081   862  9220
1912     23   291     1   110   102   737  3502  2782  1127   276   424    10   314   213  8148   710  9385
1913      8   280    72    73   318  2123  3010  1886  1069   282    27   138   288   463  8088   447  9286
1914      0    39   147   189   285  1871  3841  2591  2069   120   123    74    39   621 10372   317 11349
1915    192   187   390   177   181  1830  2628  2346  2019  1038   157    72   379   748  8823  1267 11217
1916      6   114     3    50   307  2273  2862  3070  2322  1437   591     0   120   360 10527  2027 13034
1917     28   432   165    77   429  2302  2638  3025  2825  1248   170     8   460   671 10790  1426 13347
1918     61    24    40    59   826  1817  1399  2140   932    50   223   103    85   925  6288   376  7673
1919    468   197   140    90   285  2329  2916  3434  1446   728   352    36   665   515 10125  1116 12421
1920    230    10    67   128   190  1040  2943  1565  1064   131     3     0   240   385  6612   134  7371
1921    183     8     3    90    13  2128  2676  2131  1895   291   156     4   190   106  8830   451  9578
1922    354    53     0    93   145  1708  3196  1691  2007   254   653    32   407   238  8602   939 10186
1923     22   109   242    84    95   443  4039  2816  2214   243    12    32   131   421  9512   287 10351
1924    169    29    45   124    76   785  2950  2527  2283   684   343    79   198   245  8545  1106 10094
1925      0     0    17    99   550  1879  3242  2479  1159   551   407    38     0   666  8759   996 10421
1926    379    35   268   228   313   539  2842  3860  2151   416    21    10   414   808  9392   446 11062
1927     27   124   134    47   113  1866  3393  2186  1332   619   721    51   151   293  8777  1391 10613
1928     24   279    99    62    68  1696  3180  2005  1723   872     5   232   303   228  8604  1109 10245
1929     87   260    10   190    70  1825  3051  2169  1682   502    22   189   347   270  8727   713 10057
1930     12    26    34   216   132  1868  3079  1777  2014   653   336    38    38   382  8738  1027 10185
1931     42   109    74    75   136  1139  3286  3244  2189  1611   457    79   151   285  9858  2147 12441
1932      0   142    83   110   155  1110  4165  2021  2238   689   292    17   142   348  9534   998 11021
1933     75   261   100   197   749  2257  2855  3026  2700   701   192   165   336  1046 10838  1058 13277
1934     56     0    34   133    21  1991  2967  3428  2558   306   425    31    56   188 10944   762 11950
1935     98    62     4   245    29  1540  3808  2085  1953   472    23    50   160   278  9386   545 10369
1936     78   344   148    71   359  2701  2449  2516  1965   499   803    42   422   578  9631  1344 11975
1937      1   303   190   638    62  1714  4098  1920  1907   874     8    64   304   890  9639   946 11779
1938     91   130   144    79   349  2922  3315  2631  1898  1135    47     4   221   572 10766  1186 12745
1939     65    72   216   100    10  1256  3157  3203  1350   511    90     5   137   326  8966   606 10035
1940     27    80    85   169   341  1989  3801  3132   895   719   172   126   107   595  9817  1017 11535
1941    199   154    90    52   116  1233  2122  2060  1402   304    12     7   353   258  6817   323  7751
1942    133   365    17   151    77  1975  4167  3055  1560   126    12   204   498   245 10757   342 11842
1943    476    28    14   127   482  1686  3132  1888  2562  1017    64     0   503   623  9268  1081 11476
1944    111   309   597    70   114  1232  4369  3200  1636  1016   108    12   420   781 10437  1136 12773
1945    170    17     0   294    55  1845  3617  2558  2270   461    49     5   187   349 10290   515 11341
1946      0   146    14   214   209  2454  3265  3218  1358   245  1004   105   146   436 10295  1354 12232
1947    219   147    99   121   102   998  3624  3724  2521   349    44   160   366   322 10867   553 12108
1948    289    53    48   125    88  1685  3280  2965  2350   395  1018     1   342   261 10280  1414 12297
1949      6    37    19    73   489  1384  3070  2261  3182  1008    27     1    43   581  9897  1036 11557
1950     30   189   214    26   137   939  3566  2120  2153   312    81    80   219   377  8778   473  9847
1951     51    29   303   197   230  1414  2957  2437  1321   804    66     0    80   730  8129   870  9809
1952      3   121    63   123   270  1463  3065  2497  1142   470     0    42   124   456  8167   512  9259
1953    116    19     1   185    26  1498  3189  2980  1795   920     0     0   135   212  9462   920 10729
1954     51    43    93    92    97  1238  3429  2485  3175   241     1    44    94   282 10327   286 10989
1955    178    10    34   102   243  2241  2297  3806  2524  1476    50     0   188   379 10868  1526 12961
1956     44    53    25    64   694  1988  4200  2681  1856   998   482    60    97   783 10725  1540 13145
1957     81    39   363   231   250  1338  2829  3365  1078   579    88     3   120   844  8610   670 10244
1958     42    97   121   174   229  1192  3853  3252  2000   835   252     1   139   524 10297  1088 12047
1959    164    37     2   123   259  1723  3689  3151  2743   872   104     6   201   384 11306   982 12873
1960    196     0   267    81   314  1706  2812  2747  1479   704    75    11   196   662  8744   790 10392
1961    114   116    34   101   480  1796  4183  3047  3090  1326    84    62   230   615 12116  1472 14433
1962     43   100   122   285   308   816  3033  2394  2488   344   196   515   143   715  8731  1055 10643
1963     27    78    97   209   200  1665  2677  3685  1542   781    88     5   105   506  9569   874 11054
1964      0    47    42    68    56  1721  2889  3175  2292   601    90    10    47   166 10077   701 10991
1965     82    23    91   147    86  1096  3022  1788  1617   101    23   123   105   324  7523   247  8199
1966    150    10    48    74   337  1209  2921  1907  1472   163   454   165   160   459  7509   782  8910
1967     14     1   496   122    87  1626  3423  2688  1810   237    11   670    15   705  9547   918 11184
1968    151   149   227   158    66  1073  3084  1890  1806   488    79    29   300   451  7853   596  9200
1969     46    12    18    83   280  1081  3756  2795  2274   240   368    37    58   381  9906   645 10990
1970    169    97   156   108   303  2594  2348  3746  2126   333     0     0   266   567 10814   333 11980
1971    108    68    85   149   463  2506  2545  2466  1642   893     2     1   176   697  9159   896 10927
1972      1    60     3    84   101  1224  1873  2597  1145   246   334    19    61   188  6839   599  7687
1973      8   133     8    41    73  1082  3694  3721  1903  1281    38    32   141   122 10400  1351 12014
1974      3    43    37    78   376  1019  2391  2827  1126  1345    55     4    46   491  7363  1404  9304
1975     70    98   109    27   154  1848  3212  3048  2533  1306    44     0   168   290 10641  1350 12449
1976     43    15    40   154   132  1413  3494  2969  1388    45   445    14    58   326  9264   504 10152
1977     20    40    79   189   317  2190  3033  2896  1479   549   686    43    60   585  9598  1278 11521
1978    110   258   153   175   247  2117  3061  3371  1400   360   269   209   368   575  9949   838 11730
1979    230   284    50    44   287  1570  2094  2239  1546   200   771    36   514   381  7449  1007  9351
1980     36    16    49   146    61  2501  2468  3522  1384    98    43   212    52   256  9875   353 10536
1981    137     7   171    79   215  1526  2745  2593  2522   413   105    87   144   465  9386   605 10600
1982    311    80   114   119   325  1178  2682  3075  1409   486   353     5   391   558  8344   843 10137
1983     25    63    11    63   223  1408  2881  3611  3240   795    24    73    88   297 11140   892 12417
1984    223   176    34   165    38  1316  2566  3118  1110   660    17    19   399   236  8110   696  9442
1985    178    34    25   120   149  1501  2776  2409  1349  1091    37    11   211   294  8035  1139  9679
1986    141   407    69   119   138  2173  2710  2610   827   242   173   204   548   326  8320   619  9813
1987    170   138   101    30   261  1113  2327  2813  1133  1002   481   168   308   392  7386  1650  9737
1988     26    93    42   172    93  1626  3433  2722  2526   390    26    61   119   307 10307   476 11210
1989      9     0   266    37   105  2030  2782  2630  1584   147    21   141     9   408  9026   309  9752
1990     19   110    56    35   978  2292  2556  3608  2193  1014    82    94   129  1069 10649  1190 13037
1991     63    61    73   150   171  2057  3174  2412   705   214   120    36   124   394  8348   370  9236
1992      3     3     6    48   199  1291  2480  3620  1442   429   172     0     6   253  8833   601  9693
1993     15    64   150    59   166  1406  3197  2064  2404   912    37   141    79   375  9071  1089 10614
1994    106    77     5   185   132  2430  4192  3056  1489   771   125     1   183   322 11167   897 12569
1995    364    39   297    75   231  1102  3336  2233  1517  1167    42    60   403   603  8188  1269 10462
1996    103    99    34   117    59  1201  3025  3089  1672   875    55     3   202   210  8987   933 10332
1997    103     0    56   280   131  1339  2821  2651  1507   628   631   711   103   466  8318  1970 10857
1998    144    66   135    93   161  1494  2662  2691  2488   954   349     3   210   389  9335  1306 11240
1999     13   189     1    14   450  1775  2519  2212  2600   985    17     2   201   465  9106  1003 10777
2000      9   127     7    55   594  2113  3110  2395   832   258    17     9   136   656  8450   284  9526
2001     72     9    82   161   192  2351  2733  2327  1035  1053    47     9    80   435  8446  1109 10071
2002     89   127   135    64   161  2048   892  3177  1179   480    52     5   215   360  7296   537  8409
2003     17   214    97    83    40  1471  3104  2664  2191   565    35    75   231   220  9430   675 10556
2004    205    28    23   139   363  1635  2276  2711  1225   486    81     0   233   525  7847   567  9172
2005    312    81   123   161   136  1591  3873  2143  2290   750     6    28   393   420  9897   784 11494
2006      0     0   435   158   600  1418  3157  3617  2036   414   246     8     0  1193 10228   668 12089
2007      2   100    52    84   154  2170  2710  2516  2205   155    91   183   102   290  9601   429 10422
2008     29    73   348    89    95  1835  2248  2707  2030   338    83    16   102   532  8820   436  9891
2009     52     0    51    35   132   805  2753  1804  1536   882   617   120    52   218  6897  1619  8787
2010     77    43    25    58   110  1373  3505  2858  1995   591   433    93   120   193  9731  1117 11161
2011      2    82    14   238   146  1976  3106  3019  1974   307     3     0    84   398 10075   310 10867
2012    195    14     1   130    55  1011  3346  2869  1761   480   163    16   209   186  8987   659 10040
2013     28   241    72   167   103  2693  4324  2889  1396  1198    33    12   269   342 11302  1243 13156
2014    122   320   340   114   259   737  3104  2205  1789   406   124    90   442   713  7835   620  9610
2015    218    37   480   307   166  2187  2152  1999  1442   265    48     8   255   952  7780   321  9309
2016     54    17   130    32   231  1705  4043  2650  2317   531     5     2    71   393 10715   538 11716
----------------------------------------------------------------------------------------------------------
     Values are up to 1 decimal                                                               
----------------------------------------------------------------------------------------------------------
MEAN     94    95   100   124   212  1689  3064  2670  1852   593   177    73   189   437  9276   843 10746
P-Ann     8     8     9    11    19   157   285   248   172    55    16     6    17    40   863    78  1000
 SD     100    96   117    91   168   534   627   581   588   369   211   120   141   222  1232   427  1407
 CV    1068  1009  1173   731   790   316   204   217   317   622  1193  1648   746   508   132   506   130
----------------------------------------------------------------------------------------------------------
146 NORTHEAST INDIA RAINFALL    (1871-2016)       4 SUBDIVISIONS AREA  267444 SQ.KM.                        
 Monthly, Seasonal and Annual rainfall (in 10th of mm) 1871-2016 (1871-2014 based on 306      
 stations and 2015-2016 based on IMD Subdivisional rainfall)                                  
----------------------------------------------------------------------------------------------------------
YEAR    JAN   FEB   MAR   APR   MAY   JUN   JUL   AUG   SEP   OCT   NOV   DEC    JF   MAM  JJAS   OND   ANN
----------------------------------------------------------------------------------------------------------
1871     11   233   688  1511  2343  3380  4032  3782  2896  1343   136    16   244  4542 14090  1495 20371
1872     98   214   435  1089  2202  3215  4324  3229  3907  1976    38    37   312  3725 14675  2051 20764
1873     75   182   713  1292  1317  3357  3411  3101  1789   399    62    67   257  3322 11658   528 15764
1874    352   761   646  1150  2602  3379  4148  2892  3750  2389   196     2  1113  4398 14168  2587 22267
1875    403   118   979  1456  2461  4835  3960  4997  1965   599    63    68   521  4896 15757   730 21904
1876     63   156   881   889  2488  4457  3879  3725  2401  1515   424    58   219  4258 14462  1997 20936
1877    381   418   903  1046  2643  2436  4244  3476  3492   758   123   164   798  4592 13648  1045 20084
1878    119   308   594  1297  2352  3580  4015  4934  4285  1362   486    81   426  4243 16814  1929 23413
1879     38   197   149   532  2692  4531  4173  3714  3623  1340    10   143   235  3373 16041  1493 21142
1880    273   604  1404  1220  2104  5341  3646  4154  2482  1515    90   150   877  4728 15622  1755 22983
1881     14    91   995  1632  2876  3596  3777  4006  3719  1077   165    42   105  5503 15098  1284 21990
1882     91   602   819  1024  2270  3675  2889  3971  2803  2855   378    52   693  4113 13338  3285 21429
1883    192   104   618  1065  3352  3495  3529  4394  2381   381    78   628   296  5035 13799  1087 20217
1884     89   286   631  1487  2440  3389  3045  3272  1990  1390   215    29   375  4558 11696  1634 18263
1885     81   305   639  1191  1693  3597  4181  3614  3822   937   266   140   386  3523 15214  1342 20466
1886     49    75   848   955  2118  3699  4857  4146  3795  1070    25    80   124  3921 16497  1175 21717
1887    479    37  1221  1118  2421  4567  2899  3277  2601   737   246     0   516  4760 13344   982 19602
1888    251   377   870  1887  2392  3246  4038  4085  2190   752   215     0   628  5149 13559   967 20303
1889    265   363   361  1117  2112  4547  3794  2744  3335   924   648    15   628  3590 14420  1587 20225
1890    170    23   824  1121  1678  4578  4466  3382  2577  1839    80    95   193  3623 15003  2014 20832
1891     58   419   794  1033  3155  2841  3832  3175  2240   434   401     2   477  4982 12088   837 18384
1892     57   300   498  2111  3142  3008  3783  3819  2294  1235   463    46   357  5751 12904  1744 20756
1893    266   636   839  1487  3375  4719  4579  3501  3118  1538    67    23   902  5701 15917  1628 24148
1894     23   401  1058  1220  2424  4000  3352  3890  3439  2238   791   129   423  4702 14681  3158 22965
1895     79    76   579  1605  2470  2761  4964  3365  2619  1080   168   259   155  4654 13709  1507 20025
1896    152   481   464  1329  2203  2715  3488  2707  2489   196    49    18   633  3995 11399   263 16291
1897     41   183  1060   617  2419  3453  3498  3839  3609  1847   244     7   224  4095 14399  2098 20817
1898    128   328   147   864  1563  4452  3389  4262  3052  1735    28    67   456  2574 15155  1830 20015
1899    225   337   679  1300  2582  4413  4728  3893  3373  1496    90    75   562  4561 16407  1661 23191
1900     69   424   829  1638  1995  3451  3894  2266  2982   657    50    61   493  4462 12593   767 18316
1901    245   272   196  1481  1298  3812  3313  3658  2830  1431   869    14   517  2975 13613  2314 19419
1902     29    47   595  2265  2041  4069  3871  3679  3634   956    86    46    76  4901 15253  1088 21318
1903    135   275   843   620  1305  4351  2752  4091  2864  1645   419     3   410  2768 14058  2067 19303
1904     49   431   399  2732  2466  3297  4044  3669  2280   930   465    27   480  5597 13290  1422 20789
1905    174   309  1462  1289  1988  3113  4380  5319  2703  1786    67   164   483  4738 15515  2017 22754
1906    156   779   787  1313  2048  3248  4116  4525  3158  1408   306    11   935  4148 15047  1725 21855
1907    253   305  1023  1574  1538  3816  3992  2591  2982   314    44   226   558  4135 13381   584 18658
1908    178   177   103   891  2173  3394  4455  2645  3045   832   193     0   355  3167 13539  1025 18086
1909    122    60    23  1586  1903  4720  2718  4626  2296  1493   309   235   182  3512 14360  2037 20091
1910    117   201   681  1202  1815  4247  4967  3316  2770  1725    96    20   318  3698 15300  1841 21157
1911    418    87   593  1409  2663  4071  3868  3268  2948  1834   126     8   505  4665 14155  1968 21293
1912     64   381   985  1958  1882  2971  4512  3448  2147  1472   746    37   445  4825 13078  2254 20603
1913     51   735   741  1563  2883  4751  4288  3287  2183  1796   188   245   786  5186 14509  2229 22711
1914     26   596   570  1854  2473  3021  3753  3954  2131   670    76   282   622  4897 12859  1028 19406
1915     85   363   781  1313  3971  3623  4481  4106  2368  1309   342    12   448  6065 14578  1662 22753
1916     81   157   305  1589  1846  3793  3486  3761  3181  2838   489    25   238  3740 14221  3351 21550
1917     24   651   291  1406  1627  4216  4084  2969  2870  2438   405     8   675  3324 14139  2850 20989
1918     35    60   762  1086  2337  5255  5085  4877  2712   500    64    19    95  4185 17929   583 22791
1919    218   149   186  1049  1894  3725  3665  2982  2917  1082   488     9   366  3129 13288  1579 18364
1920     29   372  1634   986  1677  3064  3126  3866  3313  1309    39    17   401  4297 13368  1364 19432
1921    328   124  1076  1783  2413  4004  4327  3893  2928  1437    70    52   451  5272 15152  1559 22435
1922    115    38   378   894  1445  4862  3410  4102  2600  1045   161    44   153  2717 14974  1250 19094
1923      1   660   234  1449  2277  4191  3452  3279  2577  1023   316    37   661  3960 13499  1376 19496
1924     56   217    96  1338  2136  3600  4647  3472  2830  1057  1254     5   273  3570 14549  2316 20707
1925    172   185   385  1608  3248  2795  3596  3357  2660  1418   148     3   357  5241 12408  1569 19575
1926    267   230  1259  1004  1964  3413  5032  3570  2381  1350    99   288   497  4227 14396  1737 20857
1927    345   681   452  1766  2074  3645  4054  3186  3942  1224   178     0  1026  4292 14827  1402 21547
1928    106   176   301   905  2676  3994  3785  3784  2419  2390   129    12   282  3882 13982  2531 20677
1929    546    86   661  1898  3128  4882  3774  3467  2483  1982    81   240   632  5686 14606  2303 23228
1930    141   338   695  1196  1625  4521  3437  3536  2568   936  1312    17   479  3516 14062  2264 20321
1931     38   410   404  1251  2393  4061  4914  2655  2770  1706   379   142   448  4048 14400  2227 21122
1932     93   335   440  1191  3159  3982  3787  3444  2506   771  1045   113   428  4790 13719  1929 20865
1933    119   255   150  1478  2171  3646  3647  4729  2222  1173    47    40   374  3799 14244  1260 19677
1934    100   690   180  1571  2559  5325  4143  2987  2361  1734   571   102   790  4310 14816  2407 22323
1935     57   356   370   811  1570  4465  3080  4787  2585   435    93     9   413  2751 14917   537 18618
1936     96   402   519  1258  3840  3708  4343  3417  2946  1547   142    92   498  5617 14414  1780 22310
1937     22   638   122   552  2768  3572  3281  4240  2637  1541   111   217   660  3441 13730  1869 19700
1938    219   184   664  1088  2967  4006  3716  4132  2871  1214   535     5   403  4719 14725  1754 21601
1939     39   298   194   977  2095  3982  4311  2986  3308  1789   135    23   337  3266 14587  1947 20137
1940     12   448  1496   372  2660  3459  3482  3539  3171   944   155   123   460  4528 13651  1222 19861
1941    291   291   290  1497  3511  4847  3754  3244  2452  1798   432    51   582  5298 14297  2281 22458
1942     41   182   650  1761  2573  4176  3143  3663  3865   830   591     0   223  4984 14847  1421 21475
1943    482   355   934  1597  2008  3757  3790  3743  3251   833    34    14   837  4539 14541   881 20797
1944    508   191   468  1062  2508  3365  3786  3662  3067   833    24    36   699  4038 13880   893 19510
1945    425   302   422  1090  2335  3920  3637  3713  2609  2254    68   102   727  3847 13879  2424 20877
1946      4   158   927  1923  2255  4028  4711  2793  2587  3480   139   119   162  5105 14118  3738 23123
1947     34    70   535  1376  2675  4431  4987  3359  3487  1985    25   242   104  4586 16264  2252 23206
1948    303   443   448  1691  4426  3706  4162  3660  3094  1890   821    28   746  6565 14622  2739 24672
1949    134   143   353  2628  3210  4172  3745  3762  3106  1342    79    64   277  6191 14785  1484 22737
1950     74   359   516   582  2058  5090  3500  4317  2083  1503   828    23   433  3156 14990  2354 20933
1951     21     5   440  1396  1853  4803  4885  3357  1841  2294   393    26    26  3689 14886  2713 21314
1952     36    49   683  1529  3217  3327  4842  3534  3043  2805   388     6    85  5429 14746  3199 23459
1953    225   185  1016   891  2718  3938  4169  3315  3936   968   258    45   410  4625 15357  1271 21664
1954    120   438   179  1010  2445  4153  3805  3734  2367  1695     5   205   558  3634 14058  1905 20156
1955     68    58   847  1359  2134  3746  4972  3355  2308  1412  1165    52   126  4340 14381  2629 21475
1956    188   107   965  1097  3649  5741  3718  4057  2531  1594   395    94   295  5711 16047  2083 24135
1957    628   309   169   798  2156  3662  3357  3049  2549   883    63    37   937  3123 12617   983 17660
1958    135   341   126  1230  3271  2787  3152  3757  2894  1367    50    71   476  4627 12590  1488 19180
1959    368   399   853   794  2443  3338  3090  2973  2889  3572    45     6   767  4090 12290  3623 20770
1960      2    60   394   279  2297  3273  4779  3316  3934   969   289    20    62  2970 15302  1278 19612
1961    103   373  1570   750  2467  3632  3142  3100  2726  1119   232    28   476  4787 12600  1379 19242
1962    162   239   112  1232  2064  4086  2939  3771  1662  1271    20    16   401  3408 12457  1307 17574
1963     22    44   436  1305  2248  4379  4049  3660  2345  1741   177    28    66  3989 14433  1946 20434
1964     56   182   494  1820  2143  3624  4841  2691  2999  2057   192    53   238  4457 14155  2302 21152
1965     21   551   544   835  1906  4215  3795  3654  2506   979   308   159   572  3285 14170  1445 19473
1966    235    60   162   822  2170  5012  3742  4010  2636  1529   387   245   295  3154 15400  2161 21010
1967    301   252   982  1158  1787  2921  3694  2823  3277  1061    96    16   553  3927 12715  1173 18368
1968    147   203   560   971  2104  4417  5155  3949  1871  1339   298     9   350  3635 15392  1645 21022
1969    113    17   688  1385  1740  3937  3773  3889  2095   815   270    21   130  3813 13694  1106 18743
1970    400   350   577  1145  1957  4293  4416  3034  3173  2351   474    13   750  3679 14916  2838 22183
1971    159   155   251  1913  2017  3599  3840  3938  2358  2046   783    27   314  4181 13735  2856 21085
1972     65   309   404  1261  1896  3552  3294  3174  2052   661    70    12   374  3561 12072   742 16749
1973     90   486   399  1473  2746  4635  2973  3174  3335  1718   840   654   576  4618 14117  3212 22522
1974    160    27   821  1387  2162  3669  6463  3949  2872  1782   281    15   187  4370 16953  2078 23588
1975     75   211   180  1050  2128  2611  4647  2719  2795  1589   493     8   286  3358 12772  2090 18506
1976     67   373   855  1446  1695  4281  4328  3186  1729   547   164    46   440  3996 13524   757 18717
1977     85   202   377  2821  2616  3929  4222  3824  1873  1436   451   286   287  5814 13848  2173 22122
1978     18   102   403   919  2265  3590  3272  2942  3505   923   340    19   120  3587 13309  1282 18298
1979     66   149   449   713  1104  2627  4768  2514  3559  1280   236   356   215  2266 13468  1872 17821
1980     74   306   837  1111  2664  3158  3892  2997  2095  1892     2    12   380  4612 12142  1905 19039
1981    266   351   772  1642  2702  2392  4602  3109  2148   328    53   389   617  5116 12251   770 18754
1982     15   377   519  1959  1146  3359  3264  3357  2249   416   355    66   392  3624 12229   837 17082
1983    175   369   973  1597  2038  2794  4064  3404  3021  1991   121   275   544  4608 13282  2387 20822
1984    138    42    95  1078  2682  4152  4238  3289  3160  1201    37   143   180  3855 14839  1380 20255
1985     58   292   696  1221  2264  3860  3936  2752  2540   752   102    82   350  4181 13088   935 18554
1986     77   115   204  1950  1604  2802  3394  2914  3337  2448   775    83   192  3758 12447  3305 19703
1987     63   205   789  1440  1335  3249  4647  4108  3903   765   339    59   268  3564 15907  1163 20902
1988     49   281   723   965  3264  3606  4990  5099  2731  1878  1363    95   330  4952 16426  3336 25044
1989     68   323   251  1206  2180  3479  5594  2763  3605  2313   121    94   391  3637 15441  2528 21997
1990     43   467   984  2139  2297  3554  3900  2566  3107  1758   367    62   510  5420 13127  2187 21244
1991    165   196   539  1263  3396  4049  4416  3331  3901  2150   155   607   361  5198 15697  2912 24168
1992    107   444   330   761  2207  3272  4319  2902  2659  1264   107   112   551  3298 13152  1483 18484
1993    320   862   682  1468  2741  4749  4861  4154  3394  1113   178    10  1182  4891 17158  1301 24532
1994    188   494  1235  1493  1939  3814  2985  3433  1733  1192   132    96   682  4667 11965  1420 18734
1995    121   347   304   786  2399  3672  3810  3856  3587   927  1133    43   468  3489 14925  2103 20985
1996    134   237   941   736  2849  3081  3887  3863  2240  2000    58     1   371  4526 13071  2059 20027
1997    162   305   749  1256  1845  3689  4822  3157  3231   330   151   330   467  3850 14899   811 20027
1998    236   341  1345  1374  2078  3162  4348  4139  2386  1639   499     0   577  4797 14035  2138 21546
1999      8     1   237   618  3259  3342  4814  4025  2899  2183    88    16     9  4114 15080  2287 21490
2000    160   201   595  1718  3157  3991  2928  3811  3168  1269   104     4   361  5470 13898  1377 21105
2001     28   458   266  1091  2491  4110  3403  2521  2621  2255   244    11   486  3848 12655  2510 19499
2002    254    47   580  1839  2179  3816  4748  3126  2462   722   638    27   301  4598 14152  1387 20438
2003     51   310   687  1237  1672  4284  3770  2592  2184  2333    70   241   361  3595 12830  2644 19431
2004     92    97   318  2478  2320  3472  4951  2738  2519  2685    57    31   189  5116 13680  2773 21758
2005    179   270  1199  1178  2043  2614  3444  3768  2094  2529    73    58   449  4420 11920  2659 19449
2006      2   276   122  1128  2716  3121  3465  2494  2743   785   215    65   278  3966 11823  1065 17132
2007      9   751   333  1916  1808  3542  5533  3279  3786  1412   563    25   760  4057 16140  2000 22957
2008    476   123   726  1056  1972  3934  3920  3671  2253  1208    29     1   599  3754 13778  1238 19369
2009     38    81   360   710  2174  2334  3543  3948  2179  1410   138    18   119  3244 12003  1566 16933
2010     24    66   680  2086  2819  3926  3081  3028  2672  1317   100   227    90  5585 12707  1644 20025
2011     79    84   632   867  2238  3702  3027  3394  2454   407    77    26   163  3737 12577   510 16987
2012    186    70   226  1450  1278  4192  3786  2397  2848  1306   316    68   256  2954 13223  1690 18123
2013      8   116   307  1103  3392  2810  3212  3316  2571  1930     9     8   124  4802 11909  1947 18782
2014     12   309   250   367  2312  3058  2875  3783  3041   438    22     2   321  2929 12757   462 16469
2015    137   129   309  2014  2085  3826  3702  4104  2387   593    82    90   266  4408 14019   765 19458
2016    142   275   530  1845  2408  2936  3700  2655  2601  1054   396    28   417  4783 11892  1478 18570
----------------------------------------------------------------------------------------------------------
     Values are up to 1 decimal                                                               
----------------------------------------------------------------------------------------------------------
